packet_id,piece_catalog_raw,leaf_order_raw,leaf_count,difficulty,start_left_raw,end_right_raw,boundary_indices
veneer_packet_00000,rawleaf_0000_4_5F4NT~left:LX13flax~right:RQ03lichen~wood:walnut~figure:mottle~wax:yellow~caliper:18~pin:1 || rawleaf_0000_1_JJ46Z~left:LX76elm~right:RQ32ivory~wood:maple~figure:stripe~wax:yellow~caliper:20~pin:0 || rawleaf_0000_0_MQTK9~left:START_DAMAR~right:RQ76madder~wood:rosewood~figure:fiddleback~wax:yellow~caliper:20~pin:9 || rawleaf_0000_6_PLDKX~left:LX15hazel~right:RQ52madder~wood:satinwood~figure:mottle~wax:black~caliper:26~pin:7 || rawleaf_0000_2_VB6FS~left:LX32amber~right:RQ24ivory~wood:pearwood~figure:mottle~wax:white~caliper:21~pin:3 || rawleaf_0000_5_2LL7L~left:LX03drift~right:RQ15pewter~wood:walnut~figure:stripe~wax:green~caliper:23~pin:2 || rawleaf_0000_3_FQKTS~left:LX24amber~right:RQ13nacre~wood:maple~figure:mottle~wax:white~caliper:23~pin:3 || shopnote~left:IGNORE_88~right:IGNORE_54~wood:scrap~figure:practice~wax:none~caliper:0~pin:0 || rawleaf_0000_7_UNEBE~left:LX52elm~right:END_FERN~wood:maple~figure:flame~wax:yellow~caliper:28~pin:5,rawleaf_0000_0_MQTK9|rawleaf_0000_1_JJ46Z|rawleaf_0000_2_VB6FS|rawleaf_0000_3_FQKTS|rawleaf_0000_4_5F4NT|rawleaf_0000_5_2LL7L|rawleaf_0000_6_PLDKX|rawleaf_0000_7_UNEBE,8,smudged,START_DAMAR,END_FERN,76|32|24|13|3|15|52
veneer_packet_00001,rawleaf_0001_0_ULP4G~left:START_CLOVE~right:RQ51lichen~wood:satinwood~figure:curl~wax:red~caliper:21~pin:1 || rawleaf_0001_5_BLNGF~left:LX30gesso~right:RQ69nacre~wood:maple~figure:ripple~wax:yellow~caliper:21~pin:8 || rawleaf_0001_7_9PDH2~left:LX15hazel~right:END_FERN~wood:rosewood~figure:curl~wax:black~caliper:24~pin:0 || rawleaf_0001_4_TUHWV~left:LX52elm~right:RQ30ochre~wood:maple~figure:fiddleback~wax:red~caliper:27~pin:9 || shopnote~left:IGNORE_02~right:IGNORE_47~wood:scrap~figure:practice~wax:none~caliper:0~pin:0 || rawleaf_0001_2_WSDZ9~left:LX38gesso~right:RQ80ivory~wood:elm burl~figure:ripple~wax:red~caliper:25~pin:5 || rawleaf_0001_1_NQ8K7~left:LX51drift~right:RQ38ochre~wood:walnut~figure:ripple~wax:yellow~caliper:17~pin:7 || rawleaf_0001_6_2Y2WK~left:LX69flax~right:RQ15pewter~wood:walnut~figure:flame~wax:white~caliper:21~pin:4 || rawleaf_0001_3_JEDMN~left:LX80amber~right:RQ52madder~wood:rosewood~figure:curl~wax:black~caliper:26~pin:7,rawleaf_0001_0_ULP4G|rawleaf_0001_1_NQ8K7|rawleaf_0001_2_WSDZ9|rawleaf_0001_3_JEDMN|rawleaf_0001_4_TUHWV|rawleaf_0001_5_BLNGF|rawleaf_0001_6_2Y2WK|rawleaf_0001_7_9PDH2,8,smudged,START_CLOVE,END_FERN,51|38|80|52|30|69|15
veneer_packet_00002,rawleaf_0002_3_2VXLD~left:LX61flax~right:RQ05nacre~wood:satinwood~figure:birdseye~wax:yellow~caliper:22~pin:3 || rawleaf_0002_1_KJ4XE~left:LX29flax~right:RQ21nacre~wood:maple~figure:ripple~wax:green~caliper:25~pin:3 || rawleaf_0002_5_9FVWZ~left:LX14gesso~right:RQ87pewter~wood:rosewood~figure:birdseye~wax:black~caliper:23~pin:8 || rawleaf_0002_6_7B4MM~left:LX87hazel~right:RQ76madder~wood:pearwood~figure:stripe~wax:green~caliper:19~pin:5 || shopnote~left:IGNORE_21~right:IGNORE_65~wood:scrap~figure:practice~wax:none~caliper:0~pin:0 || rawleaf_0002_4_BD57T~left:LX05flax~right:RQ14ochre~wood:rosewood~figure:ray~wax:white~caliper:19~pin:5 || rawleaf_0002_0_984U2~left:START_DAMAR~right:RQ29nacre~wood:pearwood~figure:curl~wax:green~caliper:28~pin:7 || rawleaf_0002_2_EHTDH~left:LX21flax~right:RQ61nacre~wood:elm burl~figure:birdseye~wax:green~caliper:24~pin:1 || rawleaf_0002_7_W4VXB~left:LX76elm~right:END_HOLLY~wood:rosewood~figure:fiddleback~wax:yellow~caliper:19~pin:5,rawleaf_0002_0_984U2|rawleaf_0002_1_KJ4XE|rawleaf_0002_2_EHTDH|rawleaf_0002_3_2VXLD|rawleaf_0002_4_BD57T|rawleaf_0002_5_9FVWZ|rawleaf_0002_6_7B4MM|rawleaf_0002_7_W4VXB,8,smudged,START_DAMAR,END_HOLLY,29|21|61|5|14|87|76
veneer_packet_00003,rawleaf_0003_0_S6LEX~left:START_ASTER~right:RQ04madder~wood:walnut~figure:ripple~wax:yellow~caliper:26~pin:3 || rawleaf_0003_3_PGSUZ~left:LX58cedar~right:RQ77nacre~wood:walnut~figure:curl~wax:yellow~caliper:21~pin:9 || rawleaf_0003_2_NKYME~left:LX43drift~right:RQ58kermes~wood:satinwood~figure:fiddleback~wax:yellow~caliper:25~pin:6 || rawleaf_0003_4_B33VW~left:LX77flax~right:RQ86ochre~wood:walnut~figure:curl~wax:blue~caliper:18~pin:5 || rawleaf_0003_7_UBY4K~left:LX75drift~right:END_GILDER~wood:elm burl~figure:ripple~wax:white~caliper:23~pin:9 || rawleaf_0003_1_6G5XE~left:LX04elm~right:RQ43lichen~wood:maple~figure:ray~wax:blue~caliper:18~pin:6 || rawleaf_0003_6_9M9MF~left:LX00amber~right:RQ75lichen~wood:pearwood~figure:ray~wax:green~caliper:20~pin:4 || rawleaf_0003_5_53WK2~left:LX86gesso~right:RQ00ivory~wood:walnut~figure:birdseye~wax:yellow~caliper:28~pin:6,rawleaf_0003_0_S6LEX|rawleaf_0003_1_6G5XE|rawleaf_0003_2_NKYME|rawleaf_0003_3_PGSUZ|rawleaf_0003_4_B33VW|rawleaf_0003_5_53WK2|rawleaf_0003_6_9M9MF|rawleaf_0003_7_UBY4K,8,plain,START_ASTER,END_GILDER,4|43|58|77|86|0|75
veneer_packet_00004,rawleaf_0004_2_3NSVY~left:LX40amber~right:RQ46ochre~wood:elm burl~figure:ray~wax:green~caliper:19~pin:8 || rawleaf_0004_5_FZEQ4~left:LX03drift~right:RQ59lichen~wood:maple~figure:ray~wax:black~caliper:22~pin:1 || rawleaf_0004_6_LKW9M~left:LX59drift~right:RQ32ivory~wood:rosewood~figure:ripple~wax:blue~caliper:18~pin:7 || rawleaf_0004_1_MP6P5~left:LX35drift~right:RQ40ivory~wood:satinwood~figure:ripple~wax:blue~caliper:27~pin:3 || rawleaf_0004_7_27SP9~left:LX32amber~right:END_EBONY~wood:maple~figure:fiddleback~wax:red~caliper:18~pin:3 || rawleaf_0004_0_6ULWJ~left:START_DAMAR~right:RQ35lichen~wood:pearwood~figure:fiddleback~wax:black~caliper:21~pin:7 || rawleaf_0004_4_8H8S3~left:LX15hazel~right:RQ03lichen~wood:satinwood~figure:fiddleback~wax:yellow~caliper:24~pin:1 || rawleaf_0004_3_K88M6~left:LX46gesso~right:RQ15pewter~wood:pearwood~figure:ripple~wax:white~caliper:19~pin:9,rawleaf_0004_0_6ULWJ|rawleaf_0004_1_MP6P5|rawleaf_0004_2_3NSVY|rawleaf_0004_3_K88M6|rawleaf_0004_4_8H8S3|rawleaf_0004_5_FZEQ4|rawleaf_0004_6_LKW9M|rawleaf_0004_7_27SP9,8,plain,START_DAMAR,END_EBONY,35|40|46|15|3|59|32
veneer_packet_00005,rawleaf_0005_7_B2PPE~left:LX18cedar~right:END_HOLLY~wood:pearwood~figure:fiddleback~wax:green~caliper:27~pin:2 || rawleaf_0005_3_XM6FV~left:LX19drift~right:RQ20madder~wood:walnut~figure:mottle~wax:red~caliper:21~pin:3 || rawleaf_0005_5_FFT8X~left:LX31hazel~right:RQ48ivory~wood:rosewood~figure:ripple~wax:blue~caliper:28~pin:2 || shopnote~left:IGNORE_99~right:IGNORE_96~wood:scrap~figure:practice~wax:none~caliper:0~pin:0 || rawleaf_0005_2_49E3B~left:LX86gesso~right:RQ19lichen~wood:elm burl~figure:stripe~wax:white~caliper:20~pin:9 || rawleaf_0005_4_MNDBJ~left:LX20elm~right:RQ31pewter~wood:walnut~figure:ray~wax:blue~caliper:26~pin:2 || rawleaf_0005_0_2KNSW~left:START_CLOVE~right:RQ70ochre~wood:rosewood~figure:curl~wax:blue~caliper:21~pin:7 || rawleaf_0005_6_BDD3Y~left:LX48amber~right:RQ18kermes~wood:satinwood~figure:stripe~wax:white~caliper:18~pin:6 || rawleaf_0005_1_ELW45~left:LX70gesso~right:RQ86ochre~wood:satinwood~figure:fiddleback~wax:black~caliper:25~pin:9,rawleaf_0005_0_2KNSW|rawleaf_0005_1_ELW45|rawleaf_0005_2_49E3B|rawleaf_0005_3_XM6FV|rawleaf_0005_4_MNDBJ|rawleaf_0005_5_FFT8X|rawleaf_0005_6_BDD3Y|rawleaf_0005_7_B2PPE,8,smudged,START_CLOVE,END_HOLLY,70|86|19|20|31|48|18
veneer_packet_00006,shopnote~left:IGNORE_30~right:IGNORE_43~wood:scrap~figure:practice~wax:none~caliper:0~pin:0 || rawleaf_0006_4_U9EFX~left:LX66cedar~right:RQ76madder~wood:satinwood~figure:flame~wax:blue~caliper:23~pin:6 || guardstrip~left:GUARD_43~right:GUARD_47~wood:paper~figure:separator~wax:none~caliper:0~pin:0 || rawleaf_0006_3_VZJ2S~left:LX50cedar~right:RQ66kermes~wood:pearwood~figure:curl~wax:white~caliper:20~pin:3 || rawleaf_0006_0_6S9GJ~left:START_DAMAR~right:RQ39pewter~wood:pearwood~figure:fiddleback~wax:yellow~caliper:19~pin:5 || rawleaf_0006_5_F5LK4~left:LX76elm~right:RQ83lichen~wood:pearwood~figure:fiddleback~wax:red~caliper:20~pin:7 || rawleaf_0006_7_GYZ3M~left:LX15hazel~right:END_FERN~wood:pearwood~figure:ripple~wax:red~caliper:28~pin:6 || rawleaf_0006_2_M4FDL~left:LX54gesso~right:RQ50kermes~wood:rosewood~figure:stripe~wax:green~caliper:18~pin:2 || rawleaf_0006_6_VEFX6~left:LX83drift~right:RQ15pewter~wood:maple~figure:stripe~wax:red~caliper:19~pin:9 || rawleaf_0006_1_B2GJH~left:LX39hazel~right:RQ54ochre~wood:elm burl~figure:curl~wax:yellow~caliper:26~pin:6,rawleaf_0006_0_6S9GJ|rawleaf_0006_1_B2GJH|rawleaf_0006_2_M4FDL|rawleaf_0006_3_VZJ2S|rawleaf_0006_4_U9EFX|rawleaf_0006_5_F5LK4|rawleaf_0006_6_VEFX6|rawleaf_0006_7_GYZ3M,8,busy,START_DAMAR,END_FERN,39|54|50|66|76|83|15
veneer_packet_00007,rawleaf_0007_5_8LUXW~left:LX04elm~right:RQ67lichen~wood:maple~figure:fiddleback~wax:red~caliper:24~pin:8 || rawleaf_0007_7_6FFUF~left:LX62gesso~right:END_GILDER~wood:rosewood~figure:mottle~wax:white~caliper:22~pin:8 || rawleaf_0007_2_E87Y3~left:LX56amber~right:RQ30ochre~wood:pearwood~figure:ray~wax:green~caliper:17~pin:4 || rawleaf_0007_0_E4VXU~left:START_ASTER~right:RQ82kermes~wood:maple~figure:ripple~wax:yellow~caliper:17~pin:7 || rawleaf_0007_6_K7Y92~left:LX67drift~right:RQ62ochre~wood:elm burl~figure:mottle~wax:white~caliper:23~pin:5 || rawleaf_0007_4_HDZ99~left:LX07hazel~right:RQ04madder~wood:walnut~figure:curl~wax:red~caliper:20~pin:6 || rawleaf_0007_1_GEXM2~left:LX82cedar~right:RQ56ivory~wood:walnut~figure:stripe~wax:red~caliper:28~pin:3 || rawleaf_0007_3_JG4J8~left:LX30gesso~right:RQ07pewter~wood:maple~figure:ripple~wax:black~caliper:19~pin:1,rawleaf_0007_0_E4VXU|rawleaf_0007_1_GEXM2|rawleaf_0007_2_E87Y3|rawleaf_0007_3_JG4J8|rawleaf_0007_4_HDZ99|rawleaf_0007_5_8LUXW|rawleaf_0007_6_K7Y92|rawleaf_0007_7_6FFUF,8,plain,START_ASTER,END_GILDER,82|56|30|7|4|67|62
veneer_packet_00008,rawleaf_0008_6_7G5BB~left:LX28elm~right:RQ14ochre~wood:satinwood~figure:flame~wax:blue~caliper:18~pin:4 || rawleaf_0008_3_9PVGJ~left:LX71hazel~right:RQ84madder~wood:satinwood~figure:mottle~wax:yellow~caliper:24~pin:5 || rawleaf_0008_0_E42UM~left:START_BEECH~right:RQ61nacre~wood:maple~figure:mottle~wax:red~caliper:22~pin:2 || rawleaf_0008_2_PBK4N~left:LX32amber~right:RQ71pewter~wood:satinwood~figure:ray~wax:red~caliper:18~pin:1 || rawleaf_0008_5_3QFU5~left:LX70gesso~right:RQ28madder~wood:rosewood~figure:ray~wax:white~caliper:19~pin:2 || rawleaf_0008_1_Y9KM8~left:LX61flax~right:RQ32ivory~wood:pearwood~figure:mottle~wax:red~caliper:21~pin:4 || rawleaf_0008_4_QJHJ6~left:LX84elm~right:RQ70ochre~wood:pearwood~figure:birdseye~wax:blue~caliper:21~pin:6 || rawleaf_0008_7_EJUZG~left:LX14gesso~right:END_HOLLY~wood:maple~figure:curl~wax:green~caliper:23~pin:0,rawleaf_0008_0_E42UM|rawleaf_0008_1_Y9KM8|rawleaf_0008_2_PBK4N|rawleaf_0008_3_9PVGJ|rawleaf_0008_4_QJHJ6|rawleaf_0008_5_3QFU5|rawleaf_0008_6_7G5BB|rawleaf_0008_7_EJUZG,8,plain,START_BEECH,END_HOLLY,61|32|71|84|70|28|14
veneer_packet_00009,rawleaf_0009_4_683FF~left:LX66cedar~right:RQ40ivory~wood:walnut~figure:ripple~wax:green~caliper:17~pin:3 || rawleaf_0009_6_7PD5E~left:LX33bistre~right:RQ43lichen~wood:maple~figure:mottle~wax:green~caliper:27~pin:1 || shopnote~left:IGNORE_75~right:IGNORE_31~wood:scrap~figure:practice~wax:none~caliper:0~pin:0 || rawleaf_0009_7_UY5UE~left:LX43drift~right:END_HOLLY~wood:maple~figure:mottle~wax:green~caliper:17~pin:8 || rawleaf_0009_5_L5ZNH~left:LX40amber~right:RQ33juniper~wood:rosewood~figure:ray~wax:yellow~caliper:23~pin:6 || rawleaf_0009_3_T7T7W~left:LX44elm~right:RQ66kermes~wood:maple~figure:stripe~wax:yellow~caliper:28~pin:5 || rawleaf_0009_2_M3DYX~left:LX16amber~right:RQ44madder~wood:maple~figure:ray~wax:green~caliper:26~pin:8 || rawleaf_0009_0_XHSBP~left:START_ASTER~right:RQ72ivory~wood:elm burl~figure:stripe~wax:red~caliper:24~pin:5 || rawleaf_0009_1_236VY~left:LX72amber~right:RQ16ivory~wood:pearwood~figure:stripe~wax:white~caliper:23~pin:1,rawleaf_0009_0_XHSBP|rawleaf_0009_1_236VY|rawleaf_0009_2_M3DYX|rawleaf_0009_3_T7T7W|rawleaf_0009_4_683FF|rawleaf_0009_5_L5ZNH|rawleaf_0009_6_7PD5E|rawleaf_0009_7_UY5UE,8,smudged,START_ASTER,END_HOLLY,72|16|44|66|40|33|43
